DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Sexo,Edad,Ocupacion
600034,237,1,1,1,79.601074708,Mujer,59,Trabajando
600034,237,2,1,2,79.601074708,Hombre,94,Incapacitado permanente para trabajar
600035,237,1,1,1,109.53622432,Mujer,56,Trabajando
600036,237,1,1,1,93.814798268,Hombre,31,Trabajando
600037,237,1,1,1,124.14999299,Hombre,58,Trabajando
600038,237,1,1,1,69.030462744,Hombre,62,Trabajando
600038,237,2,1,2,69.030462744,Mujer,62,Oficios del hogar
600038,237,3,1,3,69.030462744,Mujer,37,Trabajando
600038,237,4,1,4,69.030462744,Mujer,10,
600039,237,1,1,1,69.738232858,Hombre,72,Pensionado
600039,237,2,1,2,69.738232858,Mujer,66,Oficios del hogar
600039,237,3,1,3,69.738232858,Hombre,28,Ocio
600040,237,1,1,1,53.652478095,Mujer,52,Oficios del hogar
600040,237,2,1,2,53.652478095,Hombre,47,Trabajando
600040,237,3,1,3,53.652478095,Mujer,34,Trabajando
600040,237,4,1,4,53.652478095,Hombre,11,
600041,237,1,1,1,92.599024541,Hombre,50,Trabajando
600041,237,2,1,2,92.599024541,Mujer,30,Oficios del hogar
600041,237,3,1,3,92.599024541,Hombre,2,
600041,237,4,1,4,92.599024541,Hombre,0,
600042,237,1,1,1,57.75403985,Mujer,53,Trabajando
600042,237,2,1,2,57.75403985,Hombre,19,Incapacitado permanente para trabajar
600043,237,1,1,1,54.875634728,Mujer,42,Trabajando
600043,237,2,1,2,54.875634728,Hombre,53,Trabajando
600043,237,3,1,3,54.875634728,Hombre,22,Estudiando
600043,237,4,1,4,54.875634728,Mujer,13,
600044,237,1,1,1,51.826168608,Mujer,87,Incapacitado permanente para trabajar
600045,237,1,1,1,73.636170106,Hombre,57,Trabajando
600045,237,2,1,2,73.636170106,Hombre,63,Trabajando
600046,237,1,1,1,81.558370343,Hombre,51,Trabajando
600046,237,2,1,2,81.558370343,Mujer,39,Trabajando
600046,237,3,1,3,81.558370343,Mujer,17,Estudiando
600046,237,4,1,4,81.558370343,Mujer,15,Estudiando
600046,237,5,1,5,81.558370343,Hombre,12,
600047,237,1,1,1,77.410832513,Hombre,37,Trabajando
600047,237,2,1,2,77.410832513,Mujer,38,Trabajando
600047,237,3,1,3,77.410832513,Hombre,2,
600048,237,1,1,1,78.42746978,Mujer,54,Trabajando
600048,237,2,1,2,78.42746978,Hombre,29,Ocio
600049,237,1,1,1,69.854666268,Mujer,54,Trabajando
600049,237,2,1,2,69.854666268,Hombre,56,Trabajando
600049,237,3,1,3,69.854666268,Hombre,25,Estudiando
600050,237,3,1,3,49.436357449,Mujer,10,
600050,237,1,1,1,49.436357449,Mujer,51,Oficios del hogar
600050,237,2,1,2,49.436357449,Hombre,55,Buscando trabajo
600051,237,1,1,1,57.647309224,Mujer,64,Oficios del hogar
600051,237,2,1,2,57.647309224,Hombre,24,Trabajando
600052,237,1,1,1,120.15095337,Hombre,50,Trabajando
600052,237,2,1,2,120.15095337,Hombre,21,Estudiando
600052,237,3,1,3,120.15095337,Hombre,19,Estudiando
600053,237,1,1,1,57.222861927,Hombre,42,Trabajando
600053,237,2,1,2,57.222861927,Mujer,42,Trabajando
600053,237,3,1,3,57.222861927,Mujer,18,Estudiando
600053,237,4,1,4,57.222861927,Hombre,17,Estudiando
600053,237,5,1,5,57.222861927,Mujer,8,
600054,237,1,1,1,63.259299745,Mujer,56,Trabajando
600054,237,2,1,2,63.259299745,Hombre,25,Estudiando
600055,237,1,1,1,46.26154918,Hombre,52,Trabajando
600055,237,2,1,2,46.26154918,Mujer,42,Trabajando
600055,237,3,1,3,46.26154918,Mujer,15,Estudiando
600055,237,4,1,4,46.26154918,Mujer,10,
600056,237,1,1,1,57.765190628,Hombre,72,Trabajando
600056,237,2,1,2,57.765190628,Mujer,60,Trabajando
600057,237,1,1,1,63.016571594,Hombre,75,Pensionado
600057,237,2,1,2,63.016571594,Mujer,80,Oficios del hogar
600058,237,1,1,1,67.430394602,Hombre,43,Trabajando
600058,237,2,1,2,67.430394602,Mujer,39,Trabajando
600058,237,3,1,3,67.430394602,Hombre,20,Estudiando
600058,237,4,1,4,67.430394602,Hombre,18,Estudiando
600058,237,5,1,5,67.430394602,Hombre,10,
600058,237,6,1,6,67.430394602,Hombre,71,Incapacitado permanente para trabajar
600059,237,1,1,1,94.331960548,Mujer,57,Oficios del hogar
600059,237,2,1,2,94.331960548,Hombre,18,Estudiando
600060,237,1,1,1,51.555643338,Hombre,54,Trabajando
600060,237,2,1,2,51.555643338,Mujer,54,Trabajando
600060,237,3,1,3,51.555643338,Mujer,32,Trabajando
600060,237,4,1,4,51.555643338,Hombre,19,Estudiando
600060,237,5,1,5,51.555643338,Mujer,12,
600061,237,1,1,1,48.772873336,Hombre,53,Trabajando
600061,237,2,1,2,48.772873336,Mujer,63,Oficios del hogar
600061,237,3,1,3,48.772873336,Mujer,86,Incapacitado permanente para trabajar
600062,237,1,1,1,53.591291869,Hombre,26,Trabajando
600062,237,2,1,2,53.591291869,Mujer,26,Oficios del hogar
600062,237,3,1,3,53.591291869,Hombre,8,
600062,237,4,1,4,53.591291869,Mujer,21,Trabajando
600063,237,1,1,1,62.554208091,Hombre,44,Buscando trabajo
600063,237,2,1,2,62.554208091,Mujer,44,Trabajando
600063,237,3,1,3,62.554208091,Hombre,13,
600064,237,1,1,1,52.20915166,Hombre,36,Trabajando
600064,237,2,1,2,52.20915166,Mujer,40,Trabajando
600064,237,3,1,3,52.20915166,Mujer,11,
600064,237,4,1,4,52.20915166,Mujer,4,
600065,237,1,1,1,79.431887889,Hombre,60,Trabajando
600065,237,2,1,2,79.431887889,Mujer,52,Oficios del hogar
600065,237,3,1,3,79.431887889,Hombre,27,Trabajando
600065,237,4,1,4,79.431887889,Hombre,13,
600065,237,5,1,5,79.431887889,Mujer,30,Trabajando
600065,237,6,1,6,79.431887889,Hombre,2,
600066,237,1,1,1,69.091947684,Hombre,55,Trabajando
600066,237,2,1,2,69.091947684,Mujer,43,Oficios del hogar
600066,237,3,1,3,69.091947684,Mujer,19,Estudiando
600066,237,4,1,4,69.091947684,Mujer,7,
600067,237,1,1,1,77.885352392,Mujer,21,Estudiando
600067,237,2,1,2,77.885352392,Hombre,22,Estudiando
600068,237,1,1,1,69.39232377,Hombre,43,Trabajando
600068,237,2,1,2,69.39232377,Mujer,43,Trabajando
600068,237,3,1,3,69.39232377,Mujer,20,Estudiando
600068,237,4,1,4,69.39232377,Mujer,11,
600069,237,1,1,1,51.988671565,Hombre,80,Pensionado
600069,237,2,1,2,51.988671565,Mujer,66,Oficios del hogar
600070,237,1,1,1,83.748820242,Mujer,30,Oficios del hogar
600070,237,2,1,2,83.748820242,Hombre,1,
600071,237,1,1,1,78.669986825,Mujer,62,Oficios del hogar
600071,237,2,1,2,78.669986825,Mujer,24,Trabajando
600072,237,1,1,1,110.53437156,Mujer,34,Oficios del hogar
600072,237,2,1,2,110.53437156,Hombre,39,Trabajando
600072,237,3,1,3,110.53437156,Hombre,15,Estudiando
600072,237,4,1,4,110.53437156,Hombre,13,
600073,237,1,1,1,101.6652386,Hombre,47,Buscando trabajo
600073,237,2,1,2,101.6652386,Mujer,39,Trabajando
600074,237,1,1,1,50.729212774,Hombre,60,Trabajando
600074,237,2,1,2,50.729212774,Mujer,31,Oficios del hogar
600074,237,3,1,3,50.729212774,Hombre,11,
600074,237,4,1,4,50.729212774,Hombre,1,
600075,237,1,1,1,55.587565692,Mujer,37,Trabajando
600075,237,2,1,2,55.587565692,Hombre,36,Trabajando
600075,237,3,1,3,55.587565692,Hombre,17,Estudiando
600075,237,4,1,4,55.587565692,Mujer,8,
600075,237,5,1,5,55.587565692,Hombre,2,
600076,237,1,1,1,112.44790355,Mujer,52,Trabajando
600076,237,2,1,2,112.44790355,Hombre,25,Trabajando
600076,237,3,1,3,112.44790355,Hombre,25,Trabajando
600077,237,1,1,1,46.643551747,Mujer,76,Oficios del hogar
600078,237,1,1,1,52.874004176,Hombre,30,Trabajando
600078,237,2,1,2,52.874004176,Mujer,21,Oficios del hogar
600078,237,3,1,3,52.874004176,Hombre,1,
600079,237,1,1,1,47.839540253,Mujer,83,Oficios del hogar
600080,237,1,1,1,39.087150018,Mujer,30,Trabajando
600080,237,2,1,2,39.087150018,Mujer,14,
600080,237,3,1,3,39.087150018,Hombre,13,
600080,237,4,1,4,39.087150018,Hombre,12,
600080,237,5,1,5,39.087150018,Mujer,9,
600080,237,6,1,6,39.087150018,Mujer,5,
600080,237,7,1,7,39.087150018,Hombre,3,
600080,237,8,1,8,39.087150018,Mujer,48,Buscando trabajo
600081,237,1,1,1,88.246847413,Mujer,29,Trabajando
600081,237,2,1,2,88.246847413,Hombre,8,
600081,237,3,1,3,88.246847413,Hombre,8,
600082,237,1,1,1,45.221782186,Mujer,42,Trabajando
600082,237,2,1,2,45.221782186,Mujer,14,
600083,237,1,1,1,46.005322915,Mujer,52,Trabajando
600083,237,2,1,2,46.005322915,Hombre,55,Incapacitado permanente para trabajar
600083,237,3,2,1,46.005322915,Mujer,23,Trabajando
600083,237,4,2,2,46.005322915,Mujer,4,
600083,237,5,3,1,46.005322915,Mujer,21,Oficios del hogar
600083,237,6,3,2,46.005322915,Hombre,2,
600083,237,7,3,3,46.005322915,Mujer,0,
600084,237,1,1,1,47.242924239,Mujer,43,Trabajando
600084,237,2,1,2,47.242924239,Hombre,9,
600085,237,1,1,1,47.447742749,Mujer,43,Oficios del hogar
600085,237,2,1,2,47.447742749,Hombre,43,Trabajando
600085,237,3,1,3,47.447742749,Mujer,24,Trabajando
600085,237,4,1,4,47.447742749,Mujer,13,
600086,237,1,1,1,115.80949826,Mujer,40,Trabajando
600086,237,2,1,2,115.80949826,Hombre,40,Incapacitado permanente para trabajar
600086,237,3,1,3,115.80949826,Hombre,83,Ocio
600086,237,4,1,4,115.80949826,Mujer,65,Oficios del hogar
600086,237,5,1,5,115.80949826,Hombre,62,Ocio
600087,237,1,1,1,50.743027933,Mujer,42,Otra actividad
600087,237,2,1,2,50.743027933,Hombre,14,
600087,237,3,1,3,50.743027933,Mujer,4,
600088,237,1,1,1,65.775486993,Hombre,30,Trabajando
600088,237,2,1,2,65.775486993,Mujer,31,Oficios del hogar
600088,237,3,1,3,65.775486993,Hombre,8,
600088,237,4,1,4,65.775486993,Hombre,1,
600088,237,5,1,5,65.775486993,Hombre,79,Ocio
600089,237,1,1,1,108.12077742,Hombre,47,Trabajando
600090,237,1,1,1,101.06956974,Mujer,46,Trabajando
600090,237,2,1,2,101.06956974,Hombre,23,Trabajando
600091,237,2,1,2,101.6652386,Hombre,50,Trabajando
600091,237,1,1,1,101.6652386,Mujer,39,Trabajando
600092,237,1,1,1,56.198385694,Hombre,59,Trabajando
600092,237,2,1,2,56.198385694,Hombre,13,
600092,237,3,1,3,56.198385694,Mujer,37,Trabajando
600092,237,4,1,4,56.198385694,Mujer,12,
600092,237,5,1,5,56.198385694,Hombre,3,
600093,237,1,1,1,83.002095827,Mujer,38,Trabajando
600093,237,2,1,2,83.002095827,Mujer,18,Buscando trabajo
600093,237,3,1,3,83.002095827,Hombre,13,
600094,237,2,1,2,75.179988157,Hombre,24,Trabajando
600094,237,3,1,3,75.179988157,Mujer,22,Oficios del hogar
600094,237,4,1,4,75.179988157,Hombre,19,Estudiando
600094,237,5,1,5,75.179988157,Hombre,17,Estudiando
600094,237,6,1,6,75.179988157,Hombre,15,Estudiando
600094,237,1,1,1,75.179988157,Mujer,47,Trabajando
600095,237,1,1,1,100.24029958,Hombre,26,Trabajando
600095,237,2,1,2,100.24029958,Mujer,24,Oficios del hogar
600095,237,3,1,3,100.24029958,Hombre,7,
600096,237,1,1,1,137.31803266,Hombre,51,Trabajando
600096,237,2,1,2,137.31803266,Hombre,9,
600097,237,1,1,1,57.112354791,Mujer,69,Oficios del hogar
600097,237,2,1,2,57.112354791,Hombre,40,Trabajando
600097,237,3,1,3,57.112354791,Mujer,12,
600097,237,4,1,4,57.112354791,Hombre,9,
600098,237,5,1,5,128.87376218,Hombre,11,
600098,237,6,1,6,128.87376218,Mujer,9,
600098,237,1,1,1,128.87376218,Hombre,50,Trabajando
600098,237,2,1,2,128.87376218,Mujer,40,Oficios del hogar
600098,237,3,1,3,128.87376218,Hombre,17,Estudiando
600098,237,4,1,4,128.87376218,Mujer,14,
600099,237,1,1,1,116.60887937,Mujer,73,Oficios del hogar
600100,237,1,1,1,45.240198486,Mujer,45,Trabajando
600100,237,2,1,2,45.240198486,Mujer,15,Estudiando
600100,237,3,1,3,45.240198486,Mujer,9,
600101,237,1,1,1,122.39712499,Hombre,32,Trabajando
600101,237,2,1,2,122.39712499,Mujer,28,Oficios del hogar
600101,237,3,1,3,122.39712499,Mujer,12,
600101,237,4,1,4,122.39712499,Hombre,4,
600102,237,1,1,1,98.462637175,Mujer,74,Pensionado
600102,237,2,1,2,98.462637175,Mujer,43,Trabajando
600103,237,1,1,1,118.88601126,Mujer,25,Estudiando
600103,237,2,1,2,118.88601126,Hombre,8,
600103,237,3,1,3,118.88601126,Hombre,33,Trabajando
600103,237,4,1,4,118.88601126,Mujer,15,Estudiando
600103,237,5,1,5,118.88601126,Hombre,13,
600104,237,1,1,1,139.01242811,Hombre,42,Buscando trabajo
600105,237,1,1,1,60.65345016,Mujer,59,Oficios del hogar
600105,237,2,1,2,60.65345016,Hombre,61,Trabajando
600106,237,1,1,1,54.417477038,Mujer,86,Incapacitado permanente para trabajar
600107,237,5,1,5,98.944813474,Mujer,83,Ocio
600107,237,1,1,1,98.944813474,Hombre,38,Trabajando
600107,237,2,1,2,98.944813474,Mujer,35,Oficios del hogar
600107,237,3,1,3,98.944813474,Hombre,15,Estudiando
600107,237,4,1,4,98.944813474,Hombre,9,
600108,237,1,1,1,111.27011363,Hombre,52,Trabajando
600108,237,2,1,2,111.27011363,Mujer,44,Oficios del hogar
600108,237,3,1,3,111.27011363,Mujer,13,
600108,237,4,1,4,111.27011363,Hombre,8,
600109,237,1,1,1,96.275317714,Hombre,81,Otra actividad
600109,237,2,1,2,96.275317714,Mujer,76,Oficios del hogar
600110,237,1,1,1,106.17368775,Hombre,101,Incapacitado permanente para trabajar
600110,237,2,1,2,106.17368775,Mujer,83,Oficios del hogar
600110,237,3,1,3,106.17368775,Hombre,64,Trabajando
600111,237,1,1,1,138.5118013,Hombre,58,Trabajando
600112,237,1,1,1,51.439777236,Mujer,50,Trabajando
600112,237,2,1,2,51.439777236,Mujer,14,
600113,237,1,1,1,135.09782175,Hombre,53,Trabajando
600113,237,2,1,2,135.09782175,Mujer,54,Oficios del hogar
600113,237,3,1,3,135.09782175,Mujer,29,Trabajando
600113,237,4,1,4,135.09782175,Hombre,23,Trabajando
600113,237,5,1,5,135.09782175,Hombre,17,Estudiando
600114,237,1,1,1,69.030462744,Hombre,72,Buscando trabajo
600114,237,2,1,2,69.030462744,Mujer,71,Oficios del hogar
600114,237,3,1,3,69.030462744,Mujer,38,Trabajando
600114,237,4,1,4,69.030462744,Mujer,2,
600115,237,1,1,1,83.249929557,Hombre,34,Trabajando
600115,237,2,1,2,83.249929557,Mujer,29,Oficios del hogar
600115,237,3,1,3,83.249929557,Hombre,13,
600115,237,4,1,4,83.249929557,Mujer,10,
600115,237,5,1,5,83.249929557,Hombre,8,
600115,237,6,1,6,83.249929557,Mujer,6,
600115,237,7,1,7,83.249929557,Hombre,1,
600116,237,1,1,1,62.554208091,Hombre,38,Trabajando
600116,237,2,1,2,62.554208091,Mujer,28,Trabajando
600116,237,3,1,3,62.554208091,Hombre,4,
600117,237,1,1,1,96.722059721,Hombre,51,Trabajando
600117,237,2,1,2,96.722059721,Mujer,24,Trabajando
600118,237,1,1,1,118.61118702,Mujer,68,Oficios del hogar
600118,237,2,1,2,118.61118702,Hombre,54,Trabajando
600119,237,1,1,1,56.537638481,Mujer,64,Pensionado
600120,237,1,1,1,91.741760388,Mujer,76,Oficios del hogar
600120,237,2,1,2,91.741760388,Hombre,46,Trabajando
600120,237,3,1,3,91.741760388,Mujer,10,
600121,237,1,1,1,67.157236993,Hombre,65,Pensionado
600122,237,1,1,1,44.464942518,Mujer,70,Trabajando
600122,237,2,1,2,44.464942518,Mujer,32,Trabajando
600122,237,3,1,3,44.464942518,Mujer,26,Trabajando
600122,237,4,1,4,44.464942518,Mujer,28,Trabajando
600123,237,1,1,1,112.81047312,Hombre,52,Trabajando
600123,237,2,1,2,112.81047312,Mujer,49,Oficios del hogar
600123,237,3,1,3,112.81047312,Mujer,14,
600124,237,1,1,1,96.646152388,Mujer,63,Trabajando
600124,237,2,1,2,96.646152388,Hombre,25,Trabajando
600125,237,1,1,1,110.61063676,Hombre,56,Trabajando
600125,237,2,1,2,110.61063676,Mujer,49,Trabajando
600125,237,3,1,3,110.61063676,Mujer,80,Ocio
600126,237,1,1,1,120.3559081,Hombre,30,Trabajando
600126,237,2,1,2,120.3559081,Mujer,7,
600127,237,1,1,1,117.28914017,Mujer,29,Trabajando
600127,237,2,1,2,117.28914017,Hombre,31,Trabajando
600127,237,3,1,3,117.28914017,Hombre,6,
600128,237,1,1,1,52.446657883,Mujer,70,Trabajando
600128,237,2,1,2,52.446657883,Mujer,15,Estudiando
600129,237,1,1,1,67.399965143,Hombre,35,Trabajando
600130,237,1,1,1,56.537638481,Mujer,76,Incapacitado permanente para trabajar
600131,237,1,1,1,117.28914017,Hombre,33,Trabajando
600131,237,2,1,2,117.28914017,Mujer,32,Trabajando
600131,237,3,1,3,117.28914017,Hombre,6,
600132,237,2,1,2,85.851940186,Hombre,12,
600132,237,3,1,3,85.851940186,Mujer,63,Oficios del hogar
600132,237,1,1,1,85.851940186,Hombre,44,Oficios del hogar
600133,237,1,1,1,92.674952072,Hombre,39,Trabajando
600134,237,1,1,1,67.791981129,Mujer,56,Trabajando
600134,237,2,1,2,67.791981129,Mujer,35,Trabajando
600134,237,3,1,3,67.791981129,Mujer,9,
600135,237,1,1,1,81.448218166,Hombre,25,Trabajando
600135,237,2,1,2,81.448218166,Mujer,25,Trabajando
600135,237,3,1,3,81.448218166,Mujer,59,Oficios del hogar
600136,237,1,1,1,54.529544196,Mujer,28,Trabajando
600137,237,1,1,1,72.633638843,Mujer,57,Trabajando
600137,237,2,1,2,72.633638843,Mujer,31,Trabajando
600137,237,3,1,3,72.633638843,Mujer,24,Estudiando
600138,237,1,1,1,53.327490991,Mujer,55,Trabajando
600138,237,2,1,2,53.327490991,Mujer,6,
600139,237,1,1,1,104.58910256,Mujer,46,Trabajando
600139,237,2,1,2,104.58910256,Hombre,26,Trabajando
600139,237,3,1,3,104.58910256,Hombre,19,Estudiando
600140,237,1,1,1,92.674952072,Hombre,28,Trabajando
600141,237,1,1,1,58.094422059,Hombre,30,Trabajando
600141,237,2,1,2,58.094422059,Mujer,25,Trabajando
600142,237,1,1,1,80.468486364,Hombre,38,Trabajando
600142,237,2,1,2,80.468486364,Mujer,38,Trabajando
600142,237,3,1,3,80.468486364,Hombre,13,
600142,237,4,1,4,80.468486364,Hombre,11,
600142,237,5,1,5,80.468486364,Mujer,9,
600143,237,1,1,1,73.166355682,Mujer,62,Pensionado
600144,237,1,1,1,89.170585458,Hombre,52,Trabajando
600144,237,2,1,2,89.170585458,Mujer,48,Trabajando
600144,237,3,1,3,89.170585458,Hombre,16,Estudiando
600144,237,4,1,4,89.170585458,Hombre,11,
600145,237,1,1,1,85.238031567,Hombre,73,Buscando trabajo
600146,237,1,1,1,99.283676423,Hombre,55,Trabajando
600146,237,2,1,2,99.283676423,Hombre,25,Trabajando
600146,237,3,1,3,99.283676423,Hombre,23,Trabajando
600147,237,2,1,2,98.618237217,Mujer,53,Otra actividad
600147,237,3,1,3,98.618237217,Hombre,28,Trabajando
600147,237,4,1,4,98.618237217,Hombre,21,Estudiando
600147,237,1,1,1,98.618237217,Hombre,63,Trabajando
600148,237,1,1,1,53.738826322,Mujer,37,Trabajando
600148,237,2,1,2,53.738826322,Hombre,9,
600149,237,1,1,1,91.93757117,Hombre,63,Trabajando
600149,237,2,1,2,91.93757117,Mujer,59,Oficios del hogar
600149,237,3,1,3,91.93757117,Mujer,32,Trabajando
600149,237,4,1,4,91.93757117,Hombre,29,Trabajando
600149,237,5,1,5,91.93757117,Hombre,26,Trabajando
600150,237,1,1,1,71.822371857,Mujer,23,Trabajando
600151,237,1,1,1,79.395725654,Hombre,36,Trabajando
600151,237,2,1,2,79.395725654,Mujer,33,Trabajando
600151,237,3,1,3,79.395725654,Hombre,6,
600152,237,1,1,1,75.321307686,Hombre,50,Trabajando
600152,237,2,1,2,75.321307686,Mujer,39,Trabajando
600152,237,3,1,3,75.321307686,Mujer,11,
600152,237,4,1,4,75.321307686,Hombre,9,
600153,237,1,1,1,73.995396278,Mujer,28,Oficios del hogar
600153,237,2,1,2,73.995396278,Hombre,24,Trabajando
600153,237,3,1,3,73.995396278,Mujer,6,
600154,237,1,1,1,76.798196072,Hombre,34,Trabajando
600154,237,2,1,2,76.798196072,Mujer,33,Oficios del hogar
600154,237,3,1,3,76.798196072,Mujer,14,
600154,237,4,1,4,76.798196072,Hombre,12,
600155,237,1,1,1,139.01242811,Hombre,28,Trabajando
600156,237,1,1,1,75.892714131,Hombre,23,Trabajando
600156,237,2,1,2,75.892714131,Mujer,26,Trabajando
600156,237,3,1,3,75.892714131,Mujer,3,
600157,237,1,1,1,81.86497614,Mujer,64,Trabajando
600157,237,2,1,2,81.86497614,Hombre,41,Trabajando
600158,237,1,1,1,116.60887937,Mujer,75,Oficios del hogar
600159,237,1,1,1,121.43155653,Mujer,58,Oficios del hogar
600159,237,2,1,2,121.43155653,Hombre,68,Incapacitado permanente para trabajar
600159,237,3,1,3,121.43155653,Mujer,82,Oficios del hogar
600160,237,1,1,1,132.39149891,Hombre,40,Trabajando
